Name,ICAO,IATA
40-Mile Air,MLA,Q5
Access Air,CYD,ZA
Air Cargo Carriers,SNC,2Q
Air Choice One,\N,3E
Air Florida,FLZ,QH
Air Sunshine,RSI,
Air Wisconsin,AWI,ZW
Airlift International,AIR,
AirTran Airways,TRS,FL
Alaska Central Express,AER,KO
Alaska Seaplane Service,\N,J5
Alghanim,KYA,
All America,AL2,A2
All America US,SSA,AG
Allegheny Commuter Airlines,ALO,
Allegiant Air,AAY,G4
Aloha Airlines,AAH,AQ
America West Airlines,AWE,HP
American Airlines,AAL,AA
American Eagle Airlines,EGF,MQ
Apache Air,IWA,ZM
Arrow Air,APW,JW
ATA Airlines,AMT,
Atifly,A1F,A1
Atlantic Southeast Airlines,ASQ,EV
Atlas Air,GTI,5Y
Aws express,666,B0
Bemidji Airlines,BMJ,CH
Bering Air,BRG,8E
Black Stallion Airways,BSA,BZ
Boutique Air (Priv),BTQ,4B
Cape Air,KAP,9K
Carnival Air Lines,\N,KW
CBM America,XBM,
Chautauqua Airlines,CHQ,RP
Choice Airways,CSX,
Coastal Air,,DQ
Colgan Air,CJC,9L
Comair,COM,OH
Comfort Express Virtual Charters,CEO,
Comfort Express Virtual Charters Albany,EVC,
CommutAir,UCA,C5
Compass Airlines,CPZ,CP
Continental Airlines,COA,CO
Continental Express,,CO
Continental Micronesia,CMI,CS
Crown Airways,CRO,
Delta Air Lines,DAL,DL
Dense Airways,DWA,KP
Dense Connection,DC2,KZ
Dynamic Airways,DYA,
Eastern Atlantic Virtual Airlines,EAV,13
Envoy Air,ENY,
Epic Holiday,4AA,FA
Era Alaska,ERR,7H
Evergreen International Airlines,EIA,EZ
Executive AirShare,XSR,
Express One International,LHN,EO
ExpressJet,BTA,XE
Florida West International Airways,FWL,RF
Freedom Air,FRE,FP
Freedom Airlines,FRL,
Frontier Airlines,FFT,F9
Frontier Flying Service,FTA,2F
GoJet Airlines,GJS,G7
Great Lakes Airlines,GLA,ZK
Gryphon Airlines,\N,6P
Gulfstream International Airlines,GFT,
Hageland Aviation Services,HAG,H6
Hankook Air US,HA1,H1
Hawaiian Airlines,HAL,HA
Horizon Air,QXE,QX
Indigo,IBU,I9
Island Air (WP),MKU,WP
Island Airlines,,IS
Jet Airways,,QJ
Jet Suite,RSP,
JetBlue Airways,JBU,B6
Kenmore Air,KEN,M5
Liberty Airways,LTY,LE
Locair,LOC,ZQ
Maryland Air,M1F,M1
Mesa Airlines,ASH,YV
Mesaba Airlines,MES,XJ
Midway Airlines,MDW,JI
Midwest Airlines,MEP,YX
National Air Cargo,NCR,N8
NetJets,EJA,1I
New England Airlines,NEA,EJ
Northwest Airlines,NWA,NW
Omni Air International,OAE,OY
OneJet,\N,J1
Orbit Airlines,OBT,
Orbit Atlantic Airways,OAN,
Orbit International Airlines,OAI,
Orbit Regional Airlines,OAR,
Pacific Island Aviation,PSA,
Pacific Wings,NMI,LW
PanAm World Airways,PQW,WQ
Papillon Grand Canyon Helicopters,\N,HI
Patriot Airways,\N,P4
Peninsula Airways,PEN,KS
Piedmont Airlines (1948-1989),PDT,PI
Pinnacle Airlines,FLG,9E
Potomac Air,PDC,BK
Rainbow Air (RAI),RAB,RN
Rainbow Air Polynesia,RPO,RX
Rainbow Air US,RNY,RM
Republic Airlines,RPA,RW
Royal Airways,RAW,KG
Ryan Air Services,RYA,
Ryan International Airlines,RYN,RD
Salmon Air,\N,S6
San Dima Air,SDI,
Scenic Airlines,SCE,
Seaborne Airlines,SBS,BB
SeaPort Airlines,SQH,K5
SENIC AIRLINES,\N,YR
Shuttle America,TCF,S5
Silver Airways (3M),\N,3M
Skagway Air Service,SGY,N5
Skywalk Airlines,SYX,AL
SkyWest,SKW,OO
South Pacific Island Airways,SPI,
Southeast Air,SEA,
Southern Airways,SOU,
Southern Airways Express,LTD,
Southjet,SJS,76
Southjet cargo,XAN,78
Southjet connect,ZCS,77
Southwest Airlines,SWA,WN
Spike Airlines,SAL,S0
Spirit Airlines,NKS,NK
Sun Country Airlines,SCX,SY
T.J. Air,TJA,TJ
Texas Wings,TXW,TQ
Trans Pas Air,TP6,T6
Trans States Airlines,LOF,AX
U.S. Air,--+,-+
United Airlines,UAL,UA
United States Air Force,AIO,
US Airways,USA,US
US Helicopter,USH,
US Helicopter Corporation,,UH
Usa Sky Cargo,ES2,E1
USA3000 Airlines,GWY,U5
ViaAir,SRY,
Virgin America,VRD,VX
Vision Airlines (V2),RBY,V2
Western Airlines,WAL,WA
World Airways,WOA,WO
World Scale Airlines,WSS,W3
XAIR USA,XAU,XA
XOJET,XOJ,
Yellowstone Club Private Shuttle,\N,Y1
Yellowtail,YEL,YE